date_key,week_start,week_end,week_num,calendar_month,calendar_month_name,calendar_quarter,calendar_year,trading_year,trading_period,trading_period_num,week_in_trading_period,is_school_holiday_peak,is_festive_peak
2025-07-21,2025-07-21,2025-07-27,56,7,July,Q3,2025,TY2,P01,1,4,False,False
2025-07-28,2025-07-28,2025-08-03,57,7,July,Q3,2025,TY2,P02,2,1,False,False
2025-08-04,2025-08-04,2025-08-10,58,8,August,Q3,2025,TY2,P02,2,2,True,False
2025-08-11,2025-08-11,2025-08-17,59,8,August,Q3,2025,TY2,P02,2,3,True,False
2025-08-18,2025-08-18,2025-08-24,60,8,August,Q3,2025,TY2,P02,2,4,True,False
2025-08-25,2025-08-25,2025-08-31,61,8,August,Q3,2025,TY2,P03,3,1,True,False
2025-09-01,2025-09-01,2025-09-07,62,9,September,Q3,2025,TY2,P03,3,2,False,False
2025-09-08,2025-09-08,2025-09-14,63,9,September,Q3,2025,TY2,P03,3,3,False,False
2025-09-15,2025-09-15,2025-09-21,64,9,September,Q3,2025,TY2,P03,3,4,False,False
2025-09-22,2025-09-22,2025-09-28,65,9,September,Q3,2025,TY2,P04,4,1,False,False
2025-09-29,2025-09-29,2025-10-05,66,9,September,Q3,2025,TY2,P04,4,2,False,False
2025-10-06,2025-10-06,2025-10-12,67,10,October,Q4,2025,TY2,P04,4,3,False,False
2025-10-13,2025-10-13,2025-10-19,68,10,October,Q4,2025,TY2,P04,4,4,False,False
2025-10-20,2025-10-20,2025-10-26,69,10,October,Q4,2025,TY2,P05,5,1,False,False
2025-10-27,2025-10-27,2025-11-02,70,10,October,Q4,2025,TY2,P05,5,2,False,False
2025-11-03,2025-11-03,2025-11-09,71,11,November,Q4,2025,TY2,P05,5,3,False,False
2025-11-10,2025-11-10,2025-11-16,72,11,November,Q4,2025,TY2,P05,5,4,False,False
2025-11-17,2025-11-17,2025-11-23,73,11,November,Q4,2025,TY2,P06,6,1,False,False
2025-11-24,2025-11-24,2025-11-30,74,11,November,Q4,2025,TY2,P06,6,2,False,False
2025-12-01,2025-12-01,2025-12-07,75,12,December,Q4,2025,TY2,P06,6,3,True,True
2025-12-08,2025-12-08,2025-12-14,76,12,December,Q4,2025,TY2,P06,6,4,True,True
2025-12-15,2025-12-15,2025-12-21,77,12,December,Q4,2025,TY2,P07,7,1,True,True
2025-12-22,2025-12-22,2025-12-28,78,12,December,Q4,2025,TY2,P07,7,2,True,True
2025-12-29,2025-12-29,2026-01-04,79,12,December,Q4,2025,TY2,P07,7,3,True,True
2026-01-05,2026-01-05,2026-01-11,80,1,January,Q1,2026,TY2,P07,7,4,True,False
2026-01-12,2026-01-12,2026-01-18,81,1,January,Q1,2026,TY2,P08,8,1,True,False
2026-01-19,2026-01-19,2026-01-25,82,1,January,Q1,2026,TY2,P08,8,2,True,False
2026-01-26,2026-01-26,2026-02-01,83,1,January,Q1,2026,TY2,P08,8,3,True,False
2026-02-02,2026-02-02,2026-02-08,84,2,February,Q1,2026,TY2,P08,8,4,False,False
